Age	Temperature	K_Pg
67.5173	-0.66201	0
67.66	-0.6561	0
67.77	-0.65127	0
68.04	-0.6383	0
68.15	-0.63254	0
68.26	-0.62648	0
68.37	-0.62011	0
68.5	-0.61217	0
68.72	-0.59764	0
68.96	-0.58016	0
69.08	-0.57073	0
69.2	-0.56084	0
69.45	-0.53862	0
69.61	-0.52326	0
69.82	-0.50195	0
69.96	-0.48719	0
70.09	-0.47321	0
70.23	-0.45795	0
70.38	-0.44149	0
70.5	-0.42833	0
70.63	-0.41417	0
70.75	-0.40126	0
70.89	-0.38649	0
71.03	-0.37213	0
71.16	-0.35927	0
71.3	-0.34603	0
71.4	-0.33701	0
71.6	-0.32026	0
71.7	-0.31252	0
71.94	-0.29561	0
72.22	-0.27867	0
72.41	-0.26876	0
72.7	-0.25591	0
72.83	-0.25097	0
72.98	-0.24586	0
73.09	-0.24249	0
73.23	-0.23864	0
73.4	-0.23458	0
73.53	-0.23188	0
73.8	-0.22735	0
74	-0.22478	0
74.5	-0.22068	0
74.61	-0.22012	0
74.76	-0.21949	0
74.92	-0.21895	0
75.1	-0.21845	0
75.37	-0.21778	0
75.48	-0.21748	0
75.7	-0.21676	0
75.88	-0.21599	0
76	-0.21533	0
76.26	-0.21345	0
76.4	-0.21211	0
76.8	-0.2067	0
76.91	-0.20473	0
77.06	-0.20166	0
78	-0.17275	0
78.48	-0.15257	0
78.65	-0.14471	0
78.8	-0.1375	0
78.99	-0.12805	0
79.5	-0.10109	0
79.87	-0.08043	0
80.23	-0.05976	0
80.45	-0.04696	0
80.6	-0.0382	0
80.77	-0.02827	0
80.89	-0.02127	0
81	-0.01488	0
81.14	-0.00677	0
81.29	0.00185	0
81.4	0.00812	0
81.59	0.01882	0
81.74	0.02713	0
81.89	0.0353	0
82.11	0.04698	0
82.26	0.05472	0
82.55	0.06908	0
82.65	0.07382	0
82.77	0.07936	0
82.92	0.08604	0
83.07	0.09243	0
83.3	0.10164	0
83.44	0.10691	0
83.6	0.11263	0
83.74	0.11737	0
83.96	0.12435	0
84.18	0.13074	0
84.4	0.13658	0
84.6	0.14143	0
84.7	0.14369	0
85.3	0.15508	0
85.5	0.15809	0
85.66	0.16024	0
86.08	0.16479	0
86.18	0.16565	0
86.5	0.16788	0
86.63	0.16856	0
87.07	0.16997	0
87.18	0.17012	0
87.3	0.1702	0
87.5	0.17012	0
87.89	0.16931	0
88.37	0.16724	0
88.48	0.16662	0
88.74	0.16494	0
89	0.16301	0
89.2	0.16137	0
89.48	0.15888	0
89.7	0.15678	0
89.9	0.15478	0
90.05	0.15324	0
90.1842	0.15182	0
90.3	0.15058	0
91	0.14286	0
91.24	0.14019	0
91.5	0.13732	0
92	0.13193	0
92.5526	0.126	0
92.8	0.12327	0
93	0.12102	0
93.5	0.11506	0
93.63	0.11343	0
93.75	0.11188	0
94	0.10851	0
94.15	0.1064	0
94.26	0.1048	0
94.5	0.10116	0
94.64	0.09892	0
94.8	0.09627	0
95	0.09279	0
95.5	0.0832	0
95.7	0.07898	0
95.82	0.07633	0
95.96	0.07313	0
96.12	0.06932	0
96.24	0.06634	0
96.5	0.05955	0
96.63	0.05597	0
96.82	0.05052	0
96.94	0.04692	0
97.5	0.02857	0
97.67	0.02246	0
97.83	0.01645	0
97.96	0.0114	0
98.07	0.007	0
98.65	-0.01827	0
98.81	-0.02587	0
98.98	-0.03425	0
99.14	-0.04241	0
99.3	-0.0508	0
99.5	-0.06157	0
99.66	-0.0704	0
99.83	-0.07994	0
99.93	-0.08562	0
100.053	-0.09267	0
100.16	-0.09885	0
100.34	-0.10931	0
100.5	-0.11865	0
100.65	-0.12744	0
100.8	-0.13622	0
100.92	-0.14323	0
101.05	-0.1508	0
101.2	-0.15947	0
101.5	-0.17658	0
101.75	-0.19049	0
102	-0.20396	0
102.5	-0.22928	0
103	-0.25191	0
103.954	-0.2878	0
104.1	-0.2925	0
104.3	-0.29863	0
104.4	-0.30155	0
105	-0.31725	0
105.107	-0.31974	0
105.461	-0.32731	0
105.7	-0.33187	0
106	-0.33701	0
106.2	-0.34008	0
106.5	-0.3442	0
106.7	-0.34662	0
107	-0.34981	0
107.5	-0.35399	0
107.7	-0.3553	0
107.9	-0.35642	0
108.3	-0.35811	0
108.4	-0.35843	0
108.7	-0.35916	0
109	-0.35956	0
109.2	-0.35966	0
109.5	-0.35961	0
109.8	-0.35932	0
110	-0.35901	0
110.2	-0.35863	0
110.6	-0.35767	0
110.8	-0.35711	0
110.9	-0.35682	0
111.2	-0.35589	0
111.8	-0.35395	0
112	-0.35332	0
112.3	-0.35241	0
112.5	-0.35185	0
112.7	-0.35134	0
113	-0.35067	0
114	-0.35189	0
115	-0.3531	0
115.298	-0.35346	0
115.931	-0.35792	0
116.565	-0.36459	0
116.776	-0.36734	0
117.269	-0.3748	0
117.691	-0.38223	0
118.691	-0.40466	0
119.522	-0.4233	0
120.296	-0.44373	0
121	-0.46318	0
121.164	-0.46779	0
122	-0.49138	0
122.397	-0.50251	0
122.562	-0.5071	0
122.726	-0.51164	0
122.89	-0.51613	0
123.055	-0.52061	0
123.219	-0.52501	0
123.384	-0.52939	0
123.548	-0.53369	0
123.712	-0.53792	0
123.959	-0.54415	0
124.123	-0.5482	0
124.37	-0.55414	0
124.534	-0.55797	0
125.356	-0.57559	0
125.849	-0.58473	0
126.014	-0.5875	0
126.178	-0.59013	0
126.589	-0.59601	0
127	-0.60085	0
127.156	-0.6024	0
127.469	-0.60502	0
127.781	-0.60692	0
127.938	-0.60759	0
128.1	-0.60809	0
128.3	-0.60842	0
128.406	-0.60846	0
128.719	-0.60802	0
128.875	-0.60748	0
129	-0.6069	0
129.187	-0.60576	0
129.4	-0.60408	0
129.6	-0.60216	0
129.8	-0.5999	0
129.969	-0.59775	0
130.1	-0.59593	0
130.3	-0.5929	0
130.6	-0.5878	0
130.8	-0.58405	0
131	-0.58005	0
131.3	-0.57357	0
131.531	-0.56821	0
131.8	-0.5616	0
132	-0.55644	0
132.158	-0.55221	0
132.316	-0.54788	0
132.474	-0.54343	0
132.632	-0.53887	0
132.868	-0.53188	0
133.105	-0.52464	0
133.421	-0.5147	0
133.579	-0.50961	0
133.974	-0.49661	0
134.132	-0.4913	0
134.289	-0.48599	0
134.447	-0.48059	0
134.7	-0.47187	0
134.842	-0.46694	0
135	-0.46143	0
135.5	-0.44388	0
135.7	-0.43685	0
135.9	-0.42981	0
136.1	-0.42281	0
136.342	-0.41436	0
136.5	-0.40888	0
136.653	-0.4036	0
137.3	-0.38164	0
137.5	-0.37498	0
137.724	-0.3676	0
138.184	-0.35271	0
138.49	-0.34303	0
139.5	-0.31458	0
140.5	-0.28645	0
141.245	-0.26549	0
141.551	-0.25814	0
141.857	-0.25108	0
142.01	-0.24767	0
142.163	-0.24433	0
142.622	-0.23478	0
143.622	-0.2185	0
144.618	-0.20229	0
144.928	-0.19868	0
145.134	-0.19651	0
145.546	-0.19273	0
145.649	-0.19191	0
146.268	-0.18799	0
146.371	-0.18752	0
146.474	-0.1871	0
146.577	-0.18673	0
146.68	-0.18641	0
146.886	-0.18593	0
146.989	-0.18577	0
147.092	-0.18567	0
147.195	-0.18562	0
147.298	-0.18562	0
147.608	-0.18597	0
147.814	-0.18648	0
147.917	-0.18682	0
148.02	-0.18722	0
148.123	-0.18767	0
148.226	-0.18819	0
148.329	-0.18876	0
148.432	-0.1894	0
148.535	-0.19009	0
148.638	-0.19084	0
148.742	-0.19166	0
148.948	-0.19347	0
149.051	-0.19447	0
